"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,"Omax 40-2500X Usb3 10Mp Darkfield Trinocular Compound Microscope+Hard Carry Case",P,MICRO552," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Viewer : Trinocular</li><li>Magnification Range : 40X-2500X</li><li>Camera Resolution : 10MP</li><li>Microscope Type : Compound Microscope</li><li>Country/Region of Manufacture : China</li><li>Brand : OMAX</li><li>MPN : M837Z-A191BOIL-A185A-C100U3</li><li>Model : M837Z-A191BOIL-A185A-C100U3</li></ul>",1417.49,1049.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/p~4AAOSwIt5cXm2h/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/123174410911_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/123174410911_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 40-2500X Usb3 10Mp Darkfield Trinocular Compound Microscope+Hard Carry Case",P,MICRO553," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Viewer : Trinocular</li><li>Magnification Range : 40X-2500X</li><li>Camera Resolution : 10MP</li><li>Microscope Type : Compound Microscope</li><li>Country/Region of Manufacture : China</li><li>Brand : OMAX</li><li>MPN : M837Z-A191BOIL-A185A-C100U3</li><li>Model : M837Z-A191BOIL-A185A-C100U3</li></ul>",1417.49,1049.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/p~4AAOSwIt5cXm2h/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/123174410911_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/123174410911_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 40X-2500X 10Mp Digital Phase Contrast Lab Trinocular Compound Microscope",P,MICRO874," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : M837Z-PHB3-C100U</li><li>Model : M837Z-PHB3-C100U</li><li>Viewer : Trinocular</li><li>Magnification Range : 40X-2500X</li><li>Camera Resolution : 10MP</li><li>Microscope Type : Phrase Contrast Microscope</li></ul>",1417.49,1049.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/TCoAAOSwzsNcXnlS/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/123273725394_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/123273725394_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Binocular 10X-20X-30X-60X 5Mp Touchpad Stereo Boom Microscope With 144 Led Light",P,MICRO224," ",AmScope," ",Right,"<ul><li> Condition : New  </li><li>Brand : AmScope</li><li>MPN : W13B-X2-L144S-TP</li><li>Model : W13B-X2-L144S-TP</li><li>Viewer : Binocular</li><li>Magnification Range : 10X-20X-30X-60X</li><li>Camera Resolution : 5MP</li><li>Microscope Type : Stereo Microscope</li></ul>",1429.64,1058.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/YUcAAOSwpUVcXkRL/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/401591160949_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/401591160949_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"40X-2000X Phase Contrast Trinocular Compound Microscope+9Mp Camera+Aluminum Case",P,MICRO183," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : M837SL-PHD-A185A-C90U</li><li>Model : M837SL-PHD-A185A-C90U</li><li>Viewer : Trinocular</li><li>Magnification Range : 40X-2000X</li><li>Camera Resolution : 9MP</li><li>Microscope Type : Phrase Contrast Microscope</li></ul>",1432.34,1060.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/7LcAAOSwzE5cXmvC/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/171803070421_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/171803070421_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 40X-1600X Phase Contrast Trinocular Compound Microscope+2Mp Digital Camera",P,MICRO637," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : XM837PHB3C20C</li><li>Model : XM837PHB3C20C</li><li>Viewer : Trinocular</li><li>Magnification Range : 40X-1600X</li><li>Camera Resolution : 2MP</li><li>Microscope Type : Phrase Contrast Microscope</li></ul>",1432.34,1060.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/rjEAAOSw0dFcXoXM/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/123258092525_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/123258092525_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 40X-1600X Phase Contrast Trinocular Compound Microscope+2Mp Digital Camera",P,MICRO638," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : XM837PHB3C20C</li><li>Model : XM837PHB3C20C</li><li>Viewer : Trinocular</li><li>Magnification Range : 40X-1600X</li><li>Camera Resolution : 2MP</li><li>Microscope Type : Phrase Contrast Microscope</li></ul>",1432.34,1060.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/rjEAAOSw0dFcXoXM/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/123258092525_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/123258092525_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 40X-2500X Phase Contrast 14Mp Digital Trinocular Microscope+Aluminum Case",P,MICRO1027," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : M837Z-PHD-A185A-C140U</li><li>Model : M837Z-PHD-A185A-C140U</li><li>Viewer : Trinocular</li><li>Magnification Range : 40X-2500X</li><li>Camera Resolution : 14MP</li><li>Microscope Type : Phrase Contrast Microscope</li></ul>",1432.34,1060.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/xGsAAOSwlflcXnom/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/173442321579_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/173442321579_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"3.0Mp Digital Turret Phase Contrast 40X-2000X Compound Microscope Windows 7+Soft",P,MICRO60," "," "," ",Right,"<ul><li> Condition : New  </li><li>Camera Resolution : 3MP</li><li>Model : MD827S30-PHB3</li><li>Microscope Type : Phrase Contrast Microscope</li><li>Magnification Range : 40X-2000X</li><li>MPN : MD827S30-PHB3</li><li>Viewer : Binocular</li><li>Brand : OMAX</li></ul>",1437.74,1064.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/9tEAAOSwhn5dB73i/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/122077441577_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/122077441577_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 40X-2000X 14Mp Infinity Siedentopf Trinocular Led Compound Microscope",P,MICRO673," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : M8333S-C140U</li><li>Model : M8333S-C140U</li><li>Viewer : Trinocular</li><li>Magnification Range : 40X-2000X</li><li>Camera Resolution : 14MP</li><li>Microscope Type : Compound Microscope</li></ul>",1437.74,1064.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/82MAAOSwFeNcXlWb/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/122201866725_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/122201866725_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 40X-2000X Phase Contrast Led Microscope 3.0Mp Camera +Plan Phase Objectives",P,MICRO791," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : MD827S30L-PHB3</li><li>Microscope Type : Phrase Contrast Microscope</li><li>Viewer : USB/Camera Output</li><li>Microscope Structure : Upright</li><li>Intended Use/Discipline : Veterinary Medicine</li><li>Model : MD827S30L-PHB3</li><li>Magnification Range : 40X-2000X</li><li>Custom Bundle : Yes</li><li>Bundle Description : Microscope + PLAN Phase Objective Kit</li><li>Camera Resolution : 3MP</li><li>UPC : 670541471708</li></ul>",1437.74,1064.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/GvsAAOSw859gYmGe/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/172299336879_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/172299336879_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 40X-2000X Phase Contrast Led Microscope 3.0Mp Camera +Plan Phase Objectives",P,MICRO792," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : MD827S30L-PHB3</li><li>Microscope Type : Phrase Contrast Microscope</li><li>Viewer : USB/Camera Output</li><li>Microscope Structure : Upright</li><li>Intended Use/Discipline : Veterinary Medicine</li><li>Model : MD827S30L-PHB3</li><li>Magnification Range : 40X-2000X</li><li>Custom Bundle : Yes</li><li>Bundle Description : Microscope + PLAN Phase Objective Kit</li><li>Camera Resolution : 3MP</li><li>UPC : 670541471708</li></ul>",1437.74,1064.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/GvsAAOSw859gYmGe/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/172299336879_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/172299336879_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax Darkfield & Brightfield Compound Siedentopf 9Mp Digital Microscope 1600X",P,MICRO1163," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : M824-A191-C90</li><li>Model : M824-A191-C90</li><li>Viewer : Binocular</li><li>Magnification Range : 40X-1600X</li><li>Camera Resolution : 9MP</li><li>Microscope Type : Brightfield Microscope</li></ul>",1437.74,1064.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/r~YAAOSwKhFcXieZ/s-l960.jpg," ",https://galleryplus.ebayimg.com/ws/web/172298527200_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/172298527200_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 40-2500X Usb3 14Mp Darkfield Trinocular Compound Microscope+Hard Carry Case",P,MICRO554," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Viewer : Trinocular</li><li>Magnification Range : 40X-2500X</li><li>Camera Resolution : 14MP</li><li>Microscope Type : Compound Microscope</li><li>Country/Region of Manufacture : China</li><li>Brand : OMAX</li><li>MPN : M837Z-A191BOIL-A185A-C140U3</li><li>Model : M837Z-A191BOIL-A185A-C140U3</li></ul>",1445.84,1070.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/9ysAAOSw18BcXm3A/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/173352033108_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/173352033108_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"40X-2000X Advanced Oil Darkfield Compound Led Binocular Microscope W 14Mp Camera",P,MICRO136," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : M827SL-A191BOIL-C140U</li><li>Model : M827SL-A191BOIL-C140U</li><li>Viewer : Binocular</li><li>Magnification Range : 40X-2000X</li><li>Camera Resolution : 14MP</li><li>Microscope Type : Compound Microscope</li></ul>",1449.89,1073.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/QK4AAOSwnI9cXjAq/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/401167277647_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/401167277647_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 40X-2000X Usb3 10Mp Phase Contrast And Darkfield Led Compound Microscope",P,MICRO829," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : M827SL-PHC2-C100U3</li><li>Model : M827SL-PHC2-C100U3</li><li>Viewer : Binocular</li><li>Magnification Range : 40X-2000X</li><li>Camera Resolution : 10MP</li><li>Microscope Type : Phrase Contrast Microscope</li></ul>",1449.89,1073.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/R3AAAOSwhUpcXjNd/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/171834289786_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/171834289786_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 2500X Built-In 3Mp Digital Turret Phase Binocular Compound Led Microscope",P,MICRO502," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : MD827Z30L-PHB3</li><li>Model : MD827Z30L-PHB3</li><li>Viewer : Binocular</li><li>Magnification Range : 40X-2500X</li><li>Camera Resolution : 3MP</li><li>Microscope Type : Compound Microscope</li></ul>",1455.29,1077.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/ivkAAOSwPF9cXkBA/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/171914957203_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/171914957203_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 40X-2500X 14Mp Infinity Siedentopf Trinocular Led Compound Microscope",P,MICRO892," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : M8333Z-C140U</li><li>Model : M8333Z-C140U</li><li>Viewer : Trinocular</li><li>Magnification Range : 40X-2500X</li><li>Camera Resolution : 14MP</li><li>Microscope Type : Compound Microscope</li></ul>",1455.29,1077.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/XcwAAOSwPYdcXlgn/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/122201886848_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/122201886848_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 40X-2500X Built-In 3Mp Digital Phase Contrast Binocular Compound Microscope",P,MICRO973," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Camera Resolution : 3MP</li><li>Model : MD827Z30-PHB3</li><li>Microscope Type : Phrase Contrast Microscope</li><li>Magnification Range : 40X-2500X</li><li>MPN : MD827Z30-PHB3</li><li>Viewer : Binocular</li><li>Brand : OMAX</li></ul>",1455.29,1077.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/ZLoAAOSw-ftdDQRV/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/171910783254_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/171910783254_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Phase Contrast & Brightfield Lab Compound Clinical Microscope+5Mp Digital Camera",P,MICRO1184," "," "," ",Right,"<ul><li> Condition : New  </li><li>Camera Resolution : 5MP</li><li>Model : M827-PHB3-C50</li><li>Microscope Type : Phrase Contrast Microscope</li><li>Magnification Range : 40X-1000X</li><li>MPN : M827-PHB3-C50</li><li>Viewer : Binocular</li><li>Brand : OMAX</li></ul>",1456.64,1078.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/nXAAAOSwBgZdTGRd/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/121557687715_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/121557687715_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 40X-2500X Phase Contrast Trinocular Compound Led Microscope Live Blood",P,MICRO1039," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : M837ZL-PHB1</li><li>Model : M837ZL-PHB1</li><li>Viewer : Trinocular</li><li>Magnification Range : 40X-2500X</li><li>Microscope Type : Phrase Contrast Microscope</li></ul>",1464.74,1084.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/~qUAAOSwuAVcXmkl/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/171652264797_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/171652264797_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 40X-2000X 14Mp Usb3 Infinity Siedentopf Trinocular Led Compound Microscope",P,MICRO679," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : M8333S-C140U3</li><li>Model : M8333S-C140U3</li><li>Viewer : Trinocular</li><li>Magnification Range : 40X-2000X</li><li>Camera Resolution : 14MP</li><li>Microscope Type : Compound Microscope</li></ul>",1471.49,1089.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/aYgAAOSw~9JcXlW4/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/122201868208_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/122201868208_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Omax 40X-2000X Professional Plan Trinocular Compound Microscope Super Bright Led",P,MICRO809," ",Omax," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : M834SLPLAN</li><li>Model : M834SLPLAN</li><li>Viewer : Trinocular</li><li>Magnification Range : 40X-2000X</li><li>Microscope Type : Compound Microscope</li></ul>",1471.49,1089.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/ieoAAOSwTmxcXlOR/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/172920271334_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/172920271334_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"Live Blood Phase Contrast & Brightfield Binocular Compound Biological Microscope",P,MICRO274," "," "," ",Right,"<ul><li> Condition : New  </li><li>Model : M827S-PHB1</li><li>Microscope Type : Phrase Contrast Microscope</li><li>Magnification Range : 40X-2000X</li><li>MPN : M827S-PHB1</li><li>Viewer : Binocular</li><li>Brand : OMAX</li></ul>",1474.19,1091.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/PdgAAOSwjT5dcCWY/s-l1600.jpg," ",https://galleryplus.ebayimg.com/ws/web/122076964240_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/122076964240_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"5Mp Digital Siedentopf Compound Binocular Microscope 40X-1600X W Plan Objectives",P,MICRO204," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : M824PLAN-C50</li><li>Model : M824PLAN-C50</li><li>Viewer : Binocular</li><li>Magnification Range : 40X-1600X</li><li>Camera Resolution : 5MP</li><li>Microscope Type : Compound Microscope</li></ul>",1479.59,1095.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/ZQkAAOSwOIxcXio6/s-l960.jpg," ",https://galleryplus.ebayimg.com/ws/web/122076848338_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/122076848338_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"40X-2000X Compound Trinocular Enhanced Darkfield Led Microscope+14Mp Usb Camera",P,MICRO153," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : M837SL-A191BOIL-C140U</li><li>Model : M837SL-A191BOIL-C140U</li><li>Viewer : Trinocular</li><li>Magnification Range : 40X-2000X</li><li>Camera Resolution : 14MP</li><li>Microscope Type : Compound Microscope</li></ul>",1482.29,1097.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/h-gAAOSwYnhcXmYS/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/400777419726_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/400777419726_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
Product,"40X-2000X Binocular Phase Contrast Led Compound Microscope W Built-In 3Mp Camera",P,MICRO146," "," "," ",Right,"<ul><li> Condition : New  </li><li>Brand : OMAX</li><li>MPN : MD8211S30-PHB3</li><li>Model : MD8211S30-PHB3</li><li>Viewer : Binocular</li><li>Magnification Range : 40X-2000X</li><li>Camera Resolution : 3MP</li><li>Microscope Type : Phrase Contrast Microscope</li></ul>",1487.69,1101.99,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Laboratory Equipment/ Microscopes",https://i.ebayimg.com/images/g/zfkAAOSwuG9cXjvp/s-l1200.jpg," ",https://galleryplus.ebayimg.com/ws/web/401167606174_2_0_1/225x225.jpg,Y,https://galleryplus.ebayimg.com/ws/web/401167606174_3_0_1/225x225.jpg," "," "," "," "," ",NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," "
